"Ano Enade",co_grupo,co_ies,codmunic_inep,Área,"Nome da IES","Sigla IES","Município (funcionamento do curso)","código UF",UF,cd_dep,Rede,cd_catad,"Dep. Administrativa",cd_orgac,co_regiao_habil,"n. alunos presentes Enade","Participantes Ingressantes","Participantes Concluintes","Média FG_Ing","Média FG_Conc","Média CE_Ing","Média CE_Conc","Média Geral Ing","Média Geral Conc",Conceito_Enade,Conceito_IDD,"Conceito Preliminar Curso","% avaliam bem o plano de ensino (resp. A)","% equipamentos disponíveis são suficientes (resp. A/B)","Número de Docentes","Docentes Doutores","Docentes Regime Parcial/Integral","% Docentes Doutores","% Docentes Regime Parcial/Integral",Nota_infra,Nota_pedag,Nota_regime,Nota_doutor,Termo_insumos,"Nota Enade","Nota IDD","CPC Contínuo"
2007,5,1,510100707909,"MEDICINA VETERINÁRIA","Universidade Federal de Mato Grosso",UFMT,SINOP,51,MT,1,Pública,1,Federal,1,2,52,52,0,"57,730770111083984",,"26,55384635925293",,"34,34807586669922",,SC,SC,SC,,,5,4,5,"0,800000011920929",1,,,5,4,,,,
2007,5,1,510401703403,"MEDICINA VETERINÁRIA","Universidade Federal de Mato Grosso",UFMT,CUIABA,51,MT,1,Pública,1,Federal,1,2,53,27,26,"60,87036895751953","65,57691955566406","31,685184478759766","56,39615249633789","38,98147964477539","58,69134521484375",4,5,4,"0,04545454680919647","0,6086956262588501",44,34,44,"0,7727272510528564",1,"3,04347825050354","0,2272726446390152",5,"3,8636362552642822","3,0655102729797363","3,334465742111206","3,965830087661743","3,4431886672973633"
2007,5,2,530100100108,"MEDICINA VETERINÁRIA","Universidade de Brasília",UnB,BRASILIA,53,DF,1,Pública,1,Federal,1,2,65,32,33,"62,015625","70,01515197753906","35,70000076293945","62,12727355957031","42,278907775878906","64,0992431640625",5,4,4,"0,4583333432674408","0,26923078298568726",60,47,60,"0,7833333611488342",1,"1,346153974533081","2,2916667461395264",5,"3,9166667461395264","3,4712178707122803","4,082691669464111","3,760286569595337","3,802527904510498"
2007,5,5,220200311001,"MEDICINA VETERINÁRIA","Universidade Federal do Piauí",UFPI,TERESINA,22,PI,1,Pública,1,Federal,1,2,59,45,14,"56,022220611572266","62,71428680419922","34,94888687133789","53,7928581237793","40,217220306396484","56,023216247558594",4,4,4,"0,75","0,5",45,28,45,"0,6222222447395325",1,"2,5","3,75",5,"3,1111111640930176","3,670212984085083","3,0128531455993652","3,710400342941284","3,419325351715088"
2007,5,8,311206271303,"MEDICINA VETERINÁRIA","Fundação Universidade Federal de Viçosa",UFV,VICOSA,31,MG,1,Pública,1,Federal,1,2,71,46,25,"71,47826385498047","72,04000091552734","33,045650482177734","58,391998291015625","42,653804779052734","61,80400085449219",4,5,4,"0,1875","0,625",17,17,17,1,1,"3,125","0,9374998807907104",5,5,"3,708665609359741","3,795811891555786","4,074320316314697","3,8532204627990723"
2007,5,9,410301113700,"MEDICINA VETERINÁRIA","Universidade Estadual de Londrina",UEL,LONDRINA,41,PR,1,Pública,2,Estadual,1,2,69,37,32,"58,67567443847656","70,84375","25,191892623901367","59,62187576293945","33,56283950805664","62,427345275878906",4,4,4,"0,3478260934352875","0,2916666567325592",92,73,92,"0,79347825050354",1,"1,4583332538604736","1,7391303777694702",5,"3,9673912525177","3,3529112339019775","3,4774885177612305","3,2529776096343994","3,3727622032165527"
2007,5,10,410602227700,"MEDICINA VETERINÁRIA","Pontifícia Universidade Católica do Paraná",PUCPR,TOLEDO,41,PR,2,Privada,5,Privada,1,2,45,26,19,"41,46154022216797","52,52631759643555","19,326923370361328","50,50526428222656","24,860576629638672","51,010528564453125",2,4,3,"0,8461538553237915","0,8461538553237915",19,7,16,"0,3684210479259491","0,8421052694320679","4,230769157409668","4,230769157409668","4,210526466369629","1,8421052694320679","3,2956137657165527","1,9027552604675293","3,88284969329834","2,9146413803100586"
2007,5,10,411003725506,"MEDICINA VETERINÁRIA","Pontifícia Universidade Católica do Paraná",PUCPR,"SAO JOSE DOS PINHAIS",41,PR,2,Privada,5,Privada,1,2,81,55,26,"35,400001525878906","52,82692337036133","8,556363105773926","48,74615478515625","15,26727294921875","49,7663459777832",2,3,3,"0,2857142984867096","0,8636363744735718",48,17,41,"0,3541666567325592","0,8541666865348816","4,318181991577148","1,4285714626312256","4,270833492279053","1,7708332538604736","2,5327260494232178","1,4536054134368896","2,5895628929138184","2,118128776550293"
2007,5,17,310501870206,"MEDICINA VETERINÁRIA","Universidade Federal de Uberlândia",UFU,UBERLANDIA,31,MG,1,Pública,1,Federal,1,2,62,39,23,"53,24359130859375","46,5","30,082050323486328","47,400001525878906","35,8724365234375","47,17500305175781",3,1,2,"0,2631579041481018","0,30000001192092896",46,31,46,"0,6739130616188049",1,"1,5","1,3157894611358643",5,"3,36956524848938","3,009755849838257","2,0707571506500244",0,"1,7312296628952026"
2007,5,20,430101014100,"MEDICINA VETERINÁRIA","Universidade de Passo Fundo",UPF,"PASSO FUNDO",43,RS,2,Privada,5,Privada,1,2,99,69,30,"40,13768005371094","45,28333282470703","23,491304397583008","48,59000015258789","27,65289878845215","47,76333236694336",2,3,3,"0,9130434989929199","0,7083333134651184",40,14,18,"0,3499999940395355","0,44999998807907104","3,5416665077209473","4,5652174949646","2,25","1,75","2,814016103744507","1,7568739652633667","2,8674771785736084","2,4071977138519287"
2007,5,21,430602922400,"MEDICINA VETERINÁRIA","Pontifícia Universidade Católica do Rio Grande do Sul",PUCRS,URUGUAIANA,43,RS,2,Privada,5,Privada,1,2,50,30,20,"45,46666717529297","44,775001525878906","24,623332977294922","43,32500076293945","29,83416748046875","43,6875",2,2,2,"0,8666666746139526","0,9333333373069763",17,2,8,"0,11764705926179886","0,47058823704719543","4,6666669845581055","4,333333492279053","2,3529412746429443","0,5882353186607361","2,438328981399536","1,3616857528686523","1,6663609743118286","1,7760813236236572"
