"Ano Enade","co_grupo","co_ies","codmunic_inep","Área","Sub Area","Nome da IES","Município (funcionamento do curso)","código UF","cd_catad","Dep. Administrativa","cd_orgac","Organização","co_regiao_habil","n. alunos presentes Enade","Participantes Ingressantes","Participantes Concluintes","Média FG_Ing","Média FG_Conc","Média CE_Ing","Média CE_Conc","Média Geral Ing","Média Geral Conc","Conceito_Enade","Conceito_IDD","Conceito Preliminar Curso","CPC Contínuo ","% equipamentos disponíveis são suficientes (resp. A/B)","% avaliam bem o plano de ensino (resp. A)","Número de Docentes","Docentes Mestres","Docentes Doutores","Docentes Regime Parcial/Integral","% Docentes Mestres","% Docentes Doutores","% Docentes Regime Parcial/Integral","IDD Índice Auxiliar","IDD Índice","Nota_infra","Nota_pedag","Nota_mestre","Nota_doutor","Nota_regime","Nota Enade Ingressantes","Nota Enade Concluintes","Nota IDD"
"2008","7","1","510100707909","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DE MATO GROSSO","SINOP","51","1","Federal","1","Universidade","5","15","15","0","43.09999847412109","","23.53333282470703","","28.42499923706055","","SC","SC","SC","","0.8181818127632141","0.5454545617103577","32","26","11","32","0.8125","0.34375","1","","","4.090909004211426","2.727272748947144","4.0625","2.03125","5","1.905827879905701","",""
"2008","7","1","510401703403","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DE MATO GROSSO","CUIABÁ","51","1","Federal","1","Universidade","5","60","13","47","39","37.71276473999023","24.35384559631348","24.50851058959961","28.01538467407227","27.80957412719727","2","1","2","1.56","0.3142857253551483","0.2903225719928741","65","37","21","65","0.5692307949066162","0.3230769336223602","1","-5.350700378417969","-3.170017242431641","1.571428656578064","1.451612949371338","2.846153974533081","1.909090876579285","5","1.855186223983765","1.129840612411499","0.6282598376274109"
"2008","7","1","510502006653","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DE MATO GROSSO","PONTAL DO ARAGUAIA","51","1","Federal","1","Universidade","5","41","19","22","48.44736862182617","54.47727203369141","25.84736824035645","27.7318172454834","31.49736785888672","34.41818237304688","3","SC","3","2.23","","","29","16","13","29","0.5517241358757019","0.4482758641242981","1","","","0","0","2.758620738983154","2.648902893066406","5","2.52085018157959","2.095627546310425","2.095627546310425"
"2008","7","1","510502107602","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DE MATO GROSSO","RONDONÓPOLIS","51","1","Federal","1","Universidade","5","33","13","20","45.19230651855469","52.82500076293945","17.87692260742188","29.93499946594238","24.70576858520508","35.65750122070312","3","SC","2","1.79","","","34","20","6","34","0.5882353186607361","0.1764705926179886","1","","","0","0","2.941176652908325","1.042780756950378","5","1.082026124000549","2.278528928756714","2.278528928756714"
"2008","7","2","530100100108","MATEMÁTICA"," ","UNIVERSIDADE DE BRASÍLIA","BRASÍLIA","53","1","Federal","1","Universidade","5","112","53","59","52.0262451171875","46.80809020996094","32.58096313476562","39.72774505615234","37.44228363037109","41.49783325195312","4","3","4","3.52","0.5903614163398743","0.5921052694320679","330","327","255","330","0.9909090995788574","0.7727272510528564","1","3.1727294921875","8.498283386230469","2.951807022094727","2.960526466369629","4.954545497894287","4.566115856170654","5","3.773547172546387","3.13979959487915","2.596569776535034"
"2008","7","3","280200402908","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DE SERGIPE","ITABAIANA","28","1","Federal","1","Universidade","2","32","32","0","49.1875","","31.59062576293945","","35.98984527587891","","SC","SC","SC","","","","20","12","8","20","0.6000000238418579","0.4000000059604645","1","","","0","0","3.000000238418579","2.363636493682861","5","3.485677242279053","",""
"2008","7","3","280301106701","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DE SERGIPE","SÃO CRISTÓVÃO","28","1","Federal","1","Universidade","2","108","51","57","42.18913269042969","50.11167907714844","26.59615325927734","44.55974960327148","30.49439811706543","45.94773101806641","4","5","4","3.25","0.3260869681835175","0.425000011920929","83","52","30","83","0.6265060305595398","0.3614457845687866","1","10.85923099517822","10.46238040924072","1.63043487071991","2.125","3.132530212402344","2.135816097259521","5","2.361850500106812","3.79308557510376","4.371608257293701"
"2008","7","4","130300702603","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DO AMAZONAS","MANAUS","13","1","Federal","1","Universidade","1","57","30","27","45.09999847412109","44.31481552124023","25.23999977111816","31.87777709960938","30.20499992370605","34.98703765869141","3","2","3","1.99","0.375","0.3714285790920258","48","28","13","24","0.5833333134651184","0.2708333432674408","0.5","-0.1552026271820068","0.7936041355133057","1.875","1.857142925262451","2.916666507720947","1.60037887096405","2.5","2.272310256958008","2.183083534240723","1.828052520751953"
"2008","7","5","220100207702","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DO PIAUÍ","PARNAÍBA","22","1","Federal","1","Universidade","2","38","38","0","46.27631759643555","","29.4710521697998","","33.67236709594727","","SC","SC","SC","","","","12","9","2","12","0.75","0.1666666716337204","1","","","0","0","3.75","0.9848484992980957","5","3.01137900352478","",""
"2008","7","5","220200311001","MATEMÁTICA"," ","UNIVERSIDADE FEDERAL DO PIAUÍ","TERESINA","22","1","Federal","1","Universidade","2","144","99","45","52.42920303344727","52.70000076293945","25.1264533996582","35.15777587890625","31.95214080810547","39.54333114624023","3","SC","3","2.39","","","77","42","22","77","0.5454545617103577","0.2857142984867096","1","","","0","0","2.727272748947144","1.688311696052551","5","2.582352638244629","2.850125789642334","2.850125789642334"
