Ano Enade,"Código da área","Área de enquadramento","Código da IES","Nome da IES","Sigla da IES","Categoria administrativa","Organização acadêmica","Número de cursos da unidade","Código do município do curso","Município do curso","UF do curso","Número concluintes inscritos no Enade","Número concluintes participantes no Enade","Nota bruta de formação geral","Nota bruta de componente específico","Nota bruta geral","Nota padronizada de formação geral","Nota padronizada de componente específico","Nota de concluintes","Número de ingressantes inscritos no Enade","Número de ingressantes participantes no Enem","Nota dos ingressantes no Enem","Escolaridade dos pais (superior) dos ingressantes no Enem","Nota bruta do IDD","Nota padronizada do IDD","% de infraestrutura","Nota padronizada de infraestrutura","% organização didático pedagógica","Nota padronizada de organização didático pedagógica","% doutores","Nota padronizada de doutores","% de mestres","Nota padronizada de mestres","% de regime de trabalho (integral / parcial)","Nota padronizada de regime de trabalho (integral / parcial)","CPC (contínuo)","CPC (faixa)"
2012,1,ADMINISTRAÇÃO,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Pública,Universidade,2,5103403,CUIABA,MT,201,156,"48,13461685180664","39,614742279052734","41,758975982666016","3,2604849338531494","3,3497684001922607","3,3274474143981934",130,128,"60,798458099365234","71,42857360839844","-2,151434898376465","2,002000093460083","85,49382781982422","3,4284980297088623","77,38853454589844","2,7388534545898438","27,45098114013672","1,921568751335144","80,39215850830078","4,019608020782471",100,5,"2,7934467792510986",3
2012,1,ADMINISTRAÇÃO,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Pública,Universidade,1,5107602,RONDONOPOLIS,MT,0,0,.,.,.,.,.,.,101,96,"55,31458282470703","72,04301452636719",.,.,.,0,.,0,"5,55555534362793","0,3888888955116272","44,44444274902344","2,222222089767456",100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,1,ADMINISTRAÇÃO,2,"UNIVERSIDADE DE BRASÍLIA",UNB,Pública,Universidade,2,5300108,BRASILIA,DF,141,89,"43,64606857299805","44,870784759521484","44,58202362060547","2,5019912719726563","4,145552635192871","3,7346622943878174",133,86,"62,38799285888672","82,35294342041016","-0,8801546096801758","2,240708351135254","63,043479919433594","0,9963770508766174","79,34782409667969","2,9347825050354004","64,01985168457031","4,48138952255249","94,54093933105469","4,727046966552734",100,5,"3,2277543544769287",4
2012,1,ADMINISTRAÇÃO,3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,Pública,Universidade,1,2802908,ITABAIANA,SE,26,24,"42,1875","35,579166412353516","37,24583435058594","2,255516290664673","2,738767147064209","2,6179544925689697",53,28,"49,99196243286133","46,42856979370117","1,6196634769439697","2,710099220275879","55,769229888916016","0,20833323895931244","71,15384674072266","2,115384578704834","16,66666603088379","1,1666666269302368","87,5","4,375",100,5,"2,524529457092285",3
2012,1,ADMINISTRAÇÃO,3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,Pública,Universidade,2,2806701,"SAO CRISTOVAO",SE,149,119,"47,878150939941406","36,72352981567383","39,52268981933594","3,217146158218384","2,9120280742645264","2,988307476043701",123,85,"54,007354736328125","57,317073822021484","2,00323486328125","2,7821223735809326","52,79999923706055",0,"64,80000305175781","1,4800002574920654","36,14457702636719","2,530120372772217","72,28915405273438","3,614457607269287",100,5,"2,7080066204071045",3
2012,1,ADMINISTRAÇÃO,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Pública,Universidade,1,1300607,"BENJAMIN CONSTANT",AM,17,14,"41,35714340209961","27,64285659790039","31,08571434020996","2,115199089050293","1,5371803045272827","1,681684970855713",36,33,"48,66341018676758","65,51724243164063","-3,51898455619812","1,7452152967453003","73,07691955566406","2,0833330154418945","84,61538696289063","3,461538791656494",0,0,25,"1,25",100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,1,ADMINISTRAÇÃO,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Pública,Universidade,2,1302603,MANAUS,AM,160,129,"46,387596130371094","32,85116195678711","36,24806213378906","2,965265989303589","2,325737237930298","2,48561954498291",234,220,"57,20263671875","84,93150329589844","-5,614267349243164","1,3517839908599854",75,"2,2916667461395264","76,98412322998047","2,6984121799468994","16,901409149169922","1,1830986738204956","74,64788818359375","3,7323944568634033",100,5,"2,176898717880249",3
2012,1,ADMINISTRAÇÃO,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Pública,Universidade,1,1303403,PARINTINS,AM,13,11,"36,90909194946289","28,18181800842285","30,372726440429688","1,363548755645752","1,6187810897827148","1,5549730062484741",37,36,"50,53791809082031","71,42857360839844","-6,462609767913818","1,192490816116333","66,66666412353516","1,3888887166976929",75,"2,5","7,692307472229004","0,5384615659713745","69,23076629638672","3,461538314819336",100,5,.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,1,ADMINISTRAÇÃO,5,"UNIVERSIDADE FEDERAL DO PIAUÍ",UFPI,Pública,Universidade,1,2203909,FLORIANO,PI,30,29,"45,75862121582031","32,03103256225586","35,468963623046875","2,8589792251586914","2,201566457748413","2,365919589996338",24,24,"53,78874969482422","62,5","-1,886107325553894","2,0518205165863037","91,37931060791016","4,066092014312744","72,4137954711914","2,241379499435425","16,66666603088379","1,1666666269302368","77,77777862548828","3,8888888359069824",100,5,"2,5060482025146484",3
2012,1,ADMINISTRAÇÃO,5,"UNIVERSIDADE FEDERAL DO PIAUÍ",UFPI,Pública,Universidade,1,2207702,PARNAIBA,PI,49,38,"48,47368240356445","33,66579055786133","37,3815803527832","3,317781448364258","2,4490749835968018","2,6662516593933105",55,54,"56,457637786865234","71,69811248779297","-2,919668674468994","1,8577488660812378","72,22222137451172","1,9907407760620117","81,0810775756836","3,108107805252075","4,545454502105713","0,3181818425655365","72,7272720336914","3,6363635063171387",100,5,"2,2613306045532227",3
