Ano,Cód.Área,"Área de Enquadramento",Cód.IES,"Nome da IES","Sigla da IES","Categ. Administrativa","Org. Acadêmica","Cód. Município","Município do Curso","UF do Curso","Região do Curso","Nr. Cursos da Unidade","Conluintes Inscritos","Concluintes Participantes","Nota Bruta - FG","Nota Bruta - CE","Nota Bruta - Geral","Nota Contínua do Enade","Nota Bruta - Org. Didático-Pedagógica","Nota Padronizada - Org. Didático-Pedagógica","Nota Bruta - Infraestrutura","Nota Padronizada - Infraestrutura","Nota Bruta - Oport. Ampliação","Nota Padronizada - Oport. Ampliação","Ingressantes inscritos no Enade","Ingressantes participantes no Enem","Nota dos Ingressantes no Enem","% de Ingressantes cujos pais têm ensino superior","Nota Bruta do IDD","Nota Padronizada do IDD","% de Mestres","Nota Padronizada de Mestres","% de Doutores","Nota Padronizada de Doutores","% regime de trabalho mínimo parcial","Nota padronizada de regime de trabalho","CPC Contínuo","CPC Faixa",Observação
2013,5,"MEDICINA VETERINÁRIA",1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,"Pública Federal",Universidade,5103403,CUIABA,MT,CENTRO-OESTE,1,73,67,"53,92388153076172","51,66119384765625","52,23432922363281","4,060285568237305","4,1279683113098145","0,8957131943026498","3,3757355213165283","0,8758396536658453","4,222474575042725","2,4395882647364364",62,61,"61,892417907714844","50,84745788574219","14,725852966308594","2,866072416305542","94,64286041259766","4,296875401117469","80,35713958740234","4,017856891246854",100,5,"3,2870867252349854",4,
2013,5,"MEDICINA VETERINÁRIA",1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,"Pública Federal",Universidade,5107909,SINOP,MT,CENTRO-OESTE,1,89,85,"47,2435302734375","46,39176559448242","46,61882400512695","3,0231921672821045","4,206162452697754","1,0715028959178978","3,44586443901062","0,9862078920686544","3,8243296146392822","1,8660858814649075",99,99,"58,25828170776367","47,42267990112305","11,75003433227539","2,0749294757843018","93,75","4,179687464607282","77,08333587646484","3,8541667645151123",100,5,"2,7737905979156494",3,
2013,5,"MEDICINA VETERINÁRIA",2,"UNIVERSIDADE DE BRASÍLIA",UNB,"Pública Federal",Universidade,5300108,BRASILIA,DF,CENTRO-OESTE,1,49,46,"47,786956787109375","51,53913116455078","50,61304473876953","3,7259836196899414","4,647686004638672","2,064099906772439","3,50923490524292","1,0859398014428137","4,637847423553467","3,0379062890102784",39,31,"60,949031829833984","74,19355010986328","13,738204956054688","2,603499174118042","97,93814086914063","4,7293809506558935","78,35051727294922","3,917525736880989",100,5,"3,258805990219116",4,
2013,5,"MEDICINA VETERINÁRIA",3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,"Pública Federal",Universidade,2806701,"SAO CRISTOVAO",SE,NORDESTE,1,0,0,,,,,,0,,0,,0,50,50,"59,09564971923828","31,914894104003906",,,"92,5","4,015624945606981",75,"3,7499998532273313",100,5,,,"Unidade com cursos não reconhecidos até 31/10/2014"
2013,5,"MEDICINA VETERINÁRIA",5,"UNIVERSIDADE FEDERAL DO PIAUÍ",UFPI,"Pública Federal",Universidade,2201903,"BOM JESUS",PI,NORDESTE,1,76,74,"50,91756820678711","40,631080627441406","43,214866638183594","2,458768606185913","5,028637886047363","2,920524718187754","4,515199184417725","2,669117934448127","4,284018039703369","2,528237670862319",50,50,"48,19139862060547","28,88888931274414","16,981603622436523","3,465780019760132","93,54838562011719","4,153225573785053","59,67741775512695","2,9838708505605305",100,5,"3,2545504570007324",4,
2013,5,"MEDICINA VETERINÁRIA",5,"UNIVERSIDADE FEDERAL DO PIAUÍ",UFPI,"Pública Federal",Universidade,2211001,TERESINA,PI,NORDESTE,1,63,62,"54,81612777709961","46,16451644897461","48,33386993408203","3,386178970336914","4,793613433837891","2,3921620244104544","4,432053089141846","2,5382633196190914","4,5344085693359375","2,888909231114166",44,43,"60,83773422241211","44,1860466003418","11,721881866455078","2,0674450397491455","92,20779418945313","3,9772729494509376","61,03895950317383","3,0519479404389465",100,5,"2,9104771614074707",3,
2013,5,"MEDICINA VETERINÁRIA",8,"UNIVERSIDADE FEDERAL DE VIÇOSA",UFV,"Pública Federal",Universidade,3171303,VICOSA,MG,SUDESTE,1,101,98,"52,76020431518555","53,16836929321289","53,08061218261719","4,1974568367004395","4,687018871307373","2,15252484000283","4,616847515106201","2,829091226874229","4,799319744110107","3,270496830313659",61,61,"65,8896713256836","65,57376861572266","12,23483657836914","2,203817844390869",100,5,100,5,100,5,"3,495483875274658",4,
2013,5,"MEDICINA VETERINÁRIA",9,"UNIVERSIDADE ESTADUAL DE LONDRINA",UEL,"Pública Estadual",Universidade,4113700,LONDRINA,PR,SUL,1,91,91,"55,31538391113281","49,880218505859375","51,25274658203125","3,899047613143921","4,760665416717529","2,3180909772642253","4,189802169799805","2,1570108809403647","4,406410217285156","2,704535798611936",76,72,"63,14878463745117","65,71428680419922","12,636550903320313","2,3106164932250977","94,56521606445313","4,286684563503204","82,60869598388672","4,130434757083014",100,5,"3,2539126873016357",4,
2013,5,"MEDICINA VETERINÁRIA",10,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",PUCPR,"Privada sem fins lucrativos",Universidade,4125506,"SAO JOSE DO PINHAIS",PR,SUL,1,55,48,"47,516666412353516","44,80208206176758","45,49166488647461","2,8290178775787354","5,595273494720459","4,1943884095415065","5,459001064300537","4,154465418807934","5,666666507720947","4,519854341830465",87,69,"56,71039962768555","61,764705657958984","10,909339904785156","1,8514248132705688","97,56097412109375","4,679877839180481","36,585365295410156","1,8292682783636423","95,1219482421875","4,721254190139081","2,82857608795166",3,
2013,5,"MEDICINA VETERINÁRIA",10,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",PUCPR,"Privada sem fins lucrativos",Universidade,4127700,TOLEDO,PR,SUL,1,28,28,"46,65357208251953","43,38571548461914","44,217857360839844","2,5986249446868896","5,329333782196045","3,5965245464808704","5,100961685180664","3,5909860706856582","5,342857360839844","4,053428018072692",35,27,"49,55861282348633","38,46154022216797","16,149337768554688","3,244516134262085","91,3043441772461","3,858695134700522","21,7391300201416","1,0869565536462324","82,60869598388672","4,006211224817852","2,958841323852539",4,
