Ano,"Código da IES","Nome da IES","Sigla da IES","Organização Acadêmica","Categoria Administrativa","Código do Curso","Código da Área","Área de Enquadramento","Modalidade de Ensino","Código do Município","Município do Curso","Sigla da UF","Concluintes Inscritos","Concluintes Participantes","Nota Bruta - FG","Nota Bruta - CE","Nota Contínua do Enade","Concluintes Participantes com nota no Enem","Percentual de Concluintes participantes com nota no Enem","Nota Bruta - IDD","Nota Padronizada - IDD","Nota Bruta - Organização Didático-Pedagógica","Nota Padronizada - Organização Didático-Pedagógica","Nota Bruta - Infraestrutura e Instalações Físicas","Nota Padronizada - Infraestrutura e Instalações Físicas","Nota Bruta - Oportunidades de Ampliação da Formação","Nota Padronizada - Oportunidades de Ampliação da Formação","Nr. de Docentes","Nota Bruta - Mestres","Nota Padronizada - Mestres","Nota Bruta - Doutores","Nota Padronizada - Doutores","Nota Bruta - Regime de Trabalho","Nota Padronizada - Regime de Trabalho","CPC Contínuo","CPC Faixa",Obs
2015,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,Federal,13,1,ADMINISTRAÇÃO,"Educação Presencial",5103403,CUIABA,MT,76,66,"66,69090909090909","51,416666666666686","4,324608325958252",62,"0,939393937587738","0,5804351568222046","2,8220611303514485","4,482194423675537","1,0316273565675707","4,374451637268066","2,075381658514707","4,202513217926025","2,3868544798814435",31,"0,7419354838709677","3,580645161290322","0,25806451612903225","1,4516129032258063",1,5,"2,9547458800606416",4,
2015,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,Federal,1127343,1,ADMINISTRAÇÃO,"Educação Presencial",5107602,RONDONOPOLIS,MT,22,22,"58,16818181818183","42,29545454545454","2,924346685409546",20,"0,9090909361839294","0,8245201706886292","2,947523664389689","5,445202827453613","3,5494572186786493","5,139807224273682","3,4523772858567354","4,935064792633057","3,451821346281851",24,"0,875","4,3125","0,20833333333333334","1,171875",1,5,"3,0158450589690817",4,
2015,2,"UNIVERSIDADE DE BRASÍLIA",UNB,Universidade,Federal,145,1,ADMINISTRAÇÃO,"Educação Presencial",5300108,BRASILIA,DF,232,157,"65,99426751592357","56,04012738853506","4,817257881164551",84,"0,5350318551063538","0,5308029055595398","2,796549576344924","4,324958324432373","0,6205263272067378","3,989053249359131","1,381989065652668","4,142655372619629","2,2998345018397237",133,"0,9849624060150376","4,917293233082707","0,7293233082706767","4,102443609022556",1,5,"3,474542252157352",4,
2015,3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,Universidade,Federal,305,1,ADMINISTRAÇÃO,"Educação Presencial",2806701,"SAO CRISTOVAO",SE,109,86,"52,84999999999998","40,008139534883725","2,4355292320251465",44,"0,5116279125213623","-1,170873999595642","1,9218678691264888","4,520639896392822","1,132144817153371","4,183413505554199","1,7316738755026575","4,124080181121826","2,272830309691049",33,"0,9090909090909091","4,5","0,42424242424242425","2,3863636363636367",1,5,"2,4585294588577575",3,
2015,3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,Universidade,Federal,20762,1,ADMINISTRAÇÃO,"Educação Presencial",2806701,"SAO CRISTOVAO",SE,86,54,"54,33148148148148","40,912962962962965","2,6019632816314697",14,"0,25925925374031067","-3,4453606605529785","0,7527552898673271","4,453983306884766","0,957868091310238","4,1124420166015625","1,6039849533689816","4,0085978507995605","2,1049447167932316",30,"0,8333333333333334","4,083333333333334","0,43333333333333335","2,4375",1,5,"2,035394980216406",3,
2015,3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,Universidade,Federal,95033,1,ADMINISTRAÇÃO,"Educação Presencial",2802908,ITABAIANA,SE,54,37,"55,435135135135134","37,83243243243243","2,3013978004455566",8,"0,21621622145175934","-0,4304864704608917","2,302435664355375","4,3585052490234375","0,708236307915105","3,7943382263183594","1,0316659741940342","3,7259397506713867","1,6940227809874406",24,"0,7916666666666666","3,854166666666667","0,20833333333333334","1,171875",1,5,"2,253027383941513",3,
2015,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Universidade,Federal,392,1,ADMINISTRAÇÃO,"Educação Presencial",1302603,MANAUS,AM,183,154,"61,37077922077925","45,161688311688295","3,3870606422424316",124,"0,8051947951316833","0,08078054338693619","2,5652328517427825","4,803424835205078","1,871499074814483","4,121026515960693","1,6194298240684843","4,295825958251953","2,5225104256076962",72,"0,7638888888888888","3,7013888888888893","0,3194444444444444","1,796875",1,5,"2,78177572567983",3,
2015,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Universidade,Federal,101608,1,ADMINISTRAÇÃO,"Educação Presencial",1300607,"BENJAMIN CONSTANT",AM,66,60,"53,22166666666667","37,48000000000001","2,1657445430755615",28,"0,46666666865348816","0,7906275987625122","2,9301024884986897","5,109496593475342","2,671737795368063","4,680754661560059","2,6264691951483394","4,4707794189453125","2,7768537991442677",16,"0,1875","0,53125",0,0,1,5,"2,274653668978282",3,
2015,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Universidade,Federal,112106,1,ADMINISTRAÇÃO,"Educação Presencial",1303403,PARINTINS,AM,75,60,"56,74666666666667","35,516666666666666","2,0963058471679688",33,"0,550000011920929","-0,2542206645011902","2,3930383372916957","4,950042247772217","2,2548370583863004","4,207583904266357","1,7751602417131274","4,117724895477295","2,2635911395471005",15,"0,5333333333333333","2,4333333333333336",0,0,1,5,,"Curso não reconhecido até 31/12/2015",
2015,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Universidade,Federal,1104306,1,ADMINISTRAÇÃO,"Educação a Distância",1302603,MANAUS,AM,17,1,,,,,,,,6,5,6,5,6,5,9,1,5,"0,8888888888888888",5,1,5,,SC,
