ano,cod_ies,nome_ies,sigla_ies,org_academica,cat_administrativa,cod_curso,cod_area,area_enquadramento,modalidade_ensino,cod_municipio,municipio_curso,sigla_uf,concluintes_inscritos,concluintes_participantes,concluintes_participantes_enem,percentual_concluintes_participantes_enem,nota_bruta_idd,nota_padronizada_idd,idd_faixa
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,7,38,SERVIÇO SOCIAL,Educação Presencial,5103403,CUIABÁ,MT,34,32,32,1,-1.37514805793762,2.00240898771562,3
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,9,17,AGRONOMIA,Educação Presencial,5103403,CUIABÁ,MT,54,52,44,0.846153855323792,-0.260973960161209,2.69860002251397,3
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,12,12,MEDICINA,Educação Presencial,5103403,CUIABÁ,MT,35,33,31,0.939393937587738,-3.40932464599609,0,1
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,17,23,ENFERMAGEM,Educação Presencial,5103403,CUIABÁ,MT,29,28,27,0.964285731315613,-0.187589153647423,2.41529200716761,3
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,20,28,NUTRIÇÃO,Educação Presencial,5103403,CUIABÁ,MT,19,18,18,1,0.328208386898041,2.59191920022672,3
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,37,5,MEDICINA VETERINÁRIA,Educação Presencial,5103403,CUIABÁ,MT,29,29,27,0.931034505367279,-0.87280684709549,1.93971380922953,2
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,126,38,SERVIÇO SOCIAL,Educação Presencial,5300108,BRASÍLIA,DF,79,63,54,0.857142865657806,0.315228134393692,2.79118148390546,3
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,135,17,AGRONOMIA,Educação Presencial,5300108,BRASÍLIA,DF,113,86,60,0.69767439365387,1.1513249874115,3.55174752757494,4
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,140,12,MEDICINA,Educação Presencial,5300108,BRASÍLIA,DF,89,85,66,0.776470601558685,-0.099724560976029,2.81694968331715,3
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,141,6,ODONTOLOGIA,Educação Presencial,5300108,BRASÍLIA,DF,54,54,46,0.851851880550385,0.835356652736664,3.3520455957996,4
