,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,1,"UNIVERSIDADE FEDERAL DE MATO GROSSO",UFMT,Universidade,"Pessoa Jurídica de Direito Público - Federal",MT,84,"0,827423632144928","2,772902679894063","0,12010540068149567","4,280649038461539","0,052470989525318146","4,601941747572815","3,0499627121566504",4,
2016,2,"UNIVERSIDADE DE BRASÍLIA",UNB,Universidade,"Pessoa Jurídica de Direito Público - Federal",DF,63,"0,5425162315368652","3,3984899327390172","0,2336765080690384","4,539720558882234","0,22380727529525757","4,707910208444683","3,9582265551211027",5,
2016,3,"UNIVERSIDADE FEDERAL DE SERGIPE",UFS,Universidade,"Pessoa Jurídica de Direito Público - Federal",SE,74,"0,8294312357902527","2,8414170301640618","0,1098441407084465","4,274500475737393","0,0607246458530426","4,6421319796954315","3,108180690909756",4,
2016,4,"UNIVERSIDADE FEDERAL DO AMAZONAS",UFAM,Universidade,"Pessoa Jurídica de Direito Público - Federal",AM,75,"0,8766589760780334","2,6506271704261337","0,08281419426202774","4,2143691588785055","0,04052681475877762","4,459134615384616","2,853420209947798",3,
2016,5,"UNIVERSIDADE FEDERAL DO PIAUÍ",UFPI,Universidade,"Pessoa Jurídica de Direito Público - Federal",PI,71,"0,8750689029693604","2,6172527292145995","0,08355686068534851","4,18659420289855","0,041374243795871735","4,668049792531121","2,833232173272517",3,
2016,6,"UNIVERSIDADE FEDERAL DE OURO PRETO",UFOP,Universidade,"Pessoa Jurídica de Direito Público - Federal",MG,40,"0,7991475462913513","3,144858261358479","0,1375865787267685","4,37765505522515","0,0632658526301384","4,662698412698411","3,4105019355296426",4,
2016,7,"UNIVERSIDADE FEDERAL DE SÃO CARLOS",UFSCAR,Universidade,"Pessoa Jurídica de Direito Público - Federal",SP,49,"0,48959770798683167","3,2808639927618457","0,22617721557617188","4,502963255630185","0,28422507643699646","4,817796610169494","3,9941097918563004",5,
2016,8,"UNIVERSIDADE FEDERAL DE VIÇOSA",UFV,Universidade,"Pessoa Jurídica de Direito Público - Federal",MG,62,"0,5471420288085938","3,3582618411745178","0,2095399647951126","4,626679462571977","0,24331800639629364","4,899745385105028","3,9991167277095068",5,
2016,9,"UNIVERSIDADE ESTADUAL DE LONDRINA",UEL,Universidade,"Pessoa Jurídica de Direito Público - Estadual",PR,45,"0,66741943359375","3,1026560418821907","0,19113118946552277","4,472323759791123","0,14144939184188843","4,77205153617443","3,6005772856230567",4,
2016,10,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ",PUCPR,Universidade,"Privada sem fins lucrativos",PR,75,"0,8559688329696655","2,7448710355164825","0,07801689207553864","4,646629213483146","0,06601429730653763","4,764275256222547","3,026549910001096",4,
