Ano,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,33,"FACULDADE DE TECNOLOGIA DE SOROCABA","FATEC SO",Faculdade,"Pessoa Jurídica de Direito Público - Estadual",SP,2,1,"2,9565678780741114",0,0,0,0,"2,9565678780741114",4,
2016,34,"FACULDADE DE TECNOLOGIA DE SÃO PAULO",FATEC-SP,Faculdade,"Pessoa Jurídica de Direito Público - Estadual",SP,1,1,"2,723869470998314",0,0,0,0,"2,723869470998314",3,
2016,35,"FACULDADE DE TECNOLOGIA DE AMERICANA",FATEC-AM,Faculdade,"Pessoa Jurídica de Direito Público - Estadual",SP,3,1,"2,6445234534350575",0,0,0,0,"2,6445234534350575",3,
2016,36,"FACULDADE DE TECNOLOGIA RUBENS LARA",FATEC-BS,Faculdade,"Pessoa Jurídica de Direito Público - Estadual",SP,3,1,"2,4348098245804914",0,0,0,0,"2,4348098245804914",3,
2016,37,"FACULDADE DE TECNOLOGIA DE JAHU",FATEC-JAHU,Faculdade,"Pessoa Jurídica de Direito Público - Estadual",SP,2,1,"2,466219878672166",0,0,0,0,"2,466219878672166",3,
2016,58,"FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO",FDSBC,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",SP,1,1,"2,576024428399374",0,0,0,0,"2,576024428399374",3,
2016,59,"FACULDADE DE DIREITO DE FRANCA",FDF,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",SP,1,1,"2,5329195199441426",0,0,0,0,"2,5329195199441426",3,
2016,67,"ESCOLA DE ENGENHARIA DE PIRACICABA",EEP/FUMEP,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",SP,6,1,"2,376282469392284",0,0,0,0,"2,376282469392284",3,
2016,68,"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS",FAFIPE,Faculdade,"Privada sem fins lucrativos",SP,3,1,"2,3175269365008138",0,0,0,0,"2,3175269365008138",3,
2016,72,"FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL",FAMASUL,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",PE,7,1,"1,8056979154423969",0,0,0,0,"1,8056979154423969",2,
2016,73,"CENTRO DE ENSINO SUPERIOR DE ARCOVERDE",CESA,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",PE,5,1,"1,9440191557982165",0,0,0,0,"1,9440191557982165",2,
2016,74,"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO",FFCL,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",SP,5,1,"1,4445840431328025",0,0,0,0,"1,4445840431328025",2,
