Ano,Cód.IES,Nome da IES,Sigla da IES,Org. Acadêmica,Categ. Administrativa,UF da IES,Nr. de Cursos com CPC no Triênio,alfa (Proporção de Graduandos),Conceito médio da Graduação,beta (Proporção de Mestrandos - Equivalente),Conceito Médio do Mestrado,gama (Proporção de Doutorandos - Equivalente),Conceito Médio do doutorado,IGC (Contínuo),IGC (faixa),Observação
2016,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pessoa Jurídica de Direito Público - Federal,MT,84,"0,827423632144928","2,77290267989406","0,120105400681496","4,28064903846154","0,052470989525318","4,60194174757282","3,04996271215665",4,
2016,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pessoa Jurídica de Direito Público - Federal,DF,63,"0,542516231536865","3,39848993273902","0,233676508069038","4,53972055888223","0,223807275295258","4,70791020844468","3,9582265551211",5,
2016,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pessoa Jurídica de Direito Público - Federal,SE,74,"0,829431235790253","2,84141703016406","0,109844140708447","4,27450047573739","0,060724645853043","4,64213197969543","3,10818069090976",4,
2016,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pessoa Jurídica de Direito Público - Federal,AM,75,"0,876658976078033","2,65062717042613","0,082814194262028","4,21436915887851","0,040526814758778","4,45913461538462","2,8534202099478",3,
2016,5,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Universidade,Pessoa Jurídica de Direito Público - Federal,PI,71,"0,87506890296936","2,6172527292146","0,083556860685349","4,18659420289855","0,041374243795872","4,66804979253112","2,83323217327252",3,
2016,6,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Universidade,Pessoa Jurídica de Direito Público - Federal,MG,40,"0,799147546291351","3,14485826135848","0,137586578726769","4,37765505522515","0,063265852630138","4,66269841269841","3,41050193552964",4,
2016,7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Universidade,Pessoa Jurídica de Direito Público - Federal,SP,49,"0,489597707986832","3,28086399276185","0,226177215576172","4,50296325563019","0,284225076436996","4,81779661016949","3,9941097918563",5,
2016,8,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Universidade,Pessoa Jurídica de Direito Público - Federal,MG,62,"0,547142028808594","3,35826184117452","0,209539964795113","4,62667946257198","0,243318006396294","4,89974538510503","3,99911672770951",5,
2016,9,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Universidade,Pessoa Jurídica de Direito Público - Estadual,PR,45,"0,66741943359375","3,10265604188219","0,191131189465523","4,47232375979112","0,141449391841888","4,77205153617443","3,60057728562306",4,
2016,10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Universidade,Privada sem fins lucrativos,PR,75,"0,855968832969666","2,74487103551648","0,078016892075539","4,64662921348315","0,066014297306538","4,76427525622255","3,0265499100011",4,
2016,11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Universidade,Privada sem fins lucrativos,PE,25,"0,9126096367836","2,5235873663582","0,058361053466797","4,35905044510386","0,029029332101345","4,5","2,68808092035106",3,
2016,12,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Universidade,Pessoa Jurídica de Direito Público - Federal,RS,39,"0,702663242816925","2,75986152020713","0,168004378676415","4,37965616045845","0,129332363605499","4,75271739130435","3,2897348313349",4,
2016,13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Privada sem fins lucrativos,RS,101,"0,946641802787781","2,71925938886007","0,038395524024963","4,36180904522613","0,014962686225772","4,74534161490683","2,81264161172433",3,
2016,14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Universidade,Privada sem fins lucrativos,RS,58,"0,813026189804077","3,23584381068834","0,103561237454414","4,60277569392348","0,08341258764267","4,85981308411215","3,51286449559836",4,
2016,15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Universidade,Privada sem fins lucrativos,RJ,22,"0,890952408313751","2,37320463407476","0,089523807168007","4,12251655629139","0,019523808732629","4,5","2,57133290067944",3,
